song_name,album_cn,album_en,track_number,release_date,composer,lyricist
最长的电影,我很忙,On the Run,10,2007-11-01,周杰伦,周杰伦
龙战骑士,魔杰座,Capricorn,1,2008-10-14,周杰伦,方文山
给我一首歌的时间,魔杰座,Capricorn,2,2008-10-14,周杰伦,周杰伦
蛇舞,魔杰座,Capricorn,3,2008-10-14,周杰伦,黄俊郎
花海,魔杰座,Capricorn,4,2008-10-14,周杰伦,古小力/黄凌嘉
魔术先生,魔杰座,Capricorn,5,2008-10-14,周杰伦,方文山
说好的幸福呢,魔杰座,Capricorn,6,2008-10-14,周杰伦,方文山
兰亭序,魔杰座,Capricorn,7,2008-10-14,周杰伦,方文山
流浪诗人,魔杰座,Capricorn,8,2008-10-14,周杰伦,方文山
时光机,魔杰座,Capricorn,9,2008-10-14,周杰伦,方文山
乔克叔叔,魔杰座,Capricorn,10,2008-10-14,周杰伦,黄俊郎
稻香,魔杰座,Capricorn,11,2008-10-14,周杰伦,周杰伦
跨时代,跨时代,The Era,1,2010-05-18,周杰伦,黄俊郎
说了再见,跨时代,The Era,2,2010-05-18,周杰伦,古小力
烟花易冷,跨时代,The Era,3,2010-05-18,周杰伦,方文山
免费教学录影带,跨时代,The Era,4,2010-05-18,周杰伦,黄俊郎
好久不见,跨时代,The Era,5,2010-05-18,周杰伦,周杰伦
雨下一整晚,跨时代,The Era,6,2010-05-18,周杰伦,方文山
嘻哈空姐,跨时代,The Era,7,2010-05-18,周杰伦,方文山
我落泪情绪零碎,跨时代,The Era,8,2010-05-18,周杰伦,方文山
爱的飞行日记,跨时代,The Era,9,2010-05-18,周杰伦,方文山
自导自演,跨时代,The Era,10,2010-05-18,周杰伦,周杰伦
超人不会飞,跨时代,The Era,11,2010-05-18,周杰伦,周杰伦
惊叹号,惊叹号,Exclamation Point,1,2011-11-11,周杰伦,方文山
迷魂曲,惊叹号,Exclamation Point,2,2011-11-11,周杰伦,方文山
Mine Mine,惊叹号,Exclamation Point,3,2011-11-11,周杰伦,周杰伦
公主病,惊叹号,Exclamation Point,4,2011-11-11,周杰伦,周杰伦
你好吗,惊叹号,Exclamation Point,5,2011-11-11,周杰伦,罗宇轩/李汪哲
疗伤烧肉粽,惊叹号,Exclamation Point,6,2011-11-11,周杰伦,周杰伦
琴伤,惊叹号,Exclamation Point,7,2011-11-11,周杰伦/柴可夫斯基,宋健彰
水手怕水,惊叹号,Exclamation Point,8,2011-11-11,周杰伦,周杰伦
世界未末日,惊叹号,Exclamation Point,9,2011-11-11,周杰伦,方文山
皮影戏,惊叹号,Exclamation Point,10,2011-11-11,周杰伦,唐从圣
超跑女神,惊叹号,Exclamation Point,11,2011-11-11,周杰伦,方文山
四季列车,12新作,Opus 12,1,2012-12-28,周杰伦,方文山
手语,12新作,Opus 12,2,2012-12-28,周杰伦,周杰伦
公公偏头痛,12新作,Opus 12,3,2012-12-28,周杰伦,方文山
明明就,12新作,Opus 12,4,2012-12-28,周杰伦,方文山
傻笑,12新作,Opus 12,5,2012-12-28,周杰伦,方文山
比较大的大提琴,12新作,Opus 12,6,2012-12-28,周杰伦,方文山
爱你没差,12新作,Opus 12,7,2012-12-28,周杰伦,黄淩嘉
红尘客栈,12新作,Opus 12,8,2012-12-28,周杰伦,方文山
梦想启动,12新作,Opus 12,9,2012-12-28,周杰伦,林义杰
大笨钟,12新作,Opus 12,10,2012-12-28,周杰伦,周杰伦
哪里都是你,12新作,Opus 12,11,2012-12-28,周杰伦,周杰伦
乌克丽丽,12新作,Opus 12,12,2012-12-28,周杰伦,周杰伦
阳明山,哎呦，不错哦,"Aiyo, Not Bad",1,2014-12-26,周杰伦,方文山
窃爱,哎呦，不错哦,"Aiyo, Not Bad",2,2014-12-26,周杰伦,黄俊郎
算什么男人,哎呦，不错哦,"Aiyo, Not Bad",3,2014-12-26,周杰伦,周杰伦
天涯过客,哎呦，不错哦,"Aiyo, Not Bad",4,2014-12-26,周杰伦,方文山
怎么了,哎呦，不错哦,"Aiyo, Not Bad",5,2014-12-26,周杰伦,方文山
一口气全念对,哎呦，不错哦,"Aiyo, Not Bad",6,2014-12-26,周杰伦,方文山
我要夏天,哎呦，不错哦,"Aiyo, Not Bad",7,2014-12-26,周杰伦,周杰伦
手写的从前,哎呦，不错哦,"Aiyo, Not Bad",8,2014-12-26,周杰伦,方文山
鞋子特大号,哎呦，不错哦,"Aiyo, Not Bad",9,2014-12-26,周杰伦,方文山
听爸爸的话,哎呦，不错哦,"Aiyo, Not Bad",10,2014-12-26,周杰伦,周杰伦
美人鱼,哎呦，不错哦,"Aiyo, Not Bad",11,2014-12-26,周杰伦,罗宇轩/李汪哲
听见下雨的声音,哎呦，不错哦,"Aiyo, Not Bad",12,2014-12-26,周杰伦,方文山
床边故事,周杰伦的床边故事,Jay Chou's Bedtime Stories,1,2016-06-24,周杰伦,方文山
说走就走,周杰伦的床边故事,Jay Chou's Bedtime Stories,2,2016-06-24,周杰伦,方文山
一点点,周杰伦的床边故事,Jay Chou's Bedtime Stories,3,2016-06-24,周杰伦,方文山
前世情人,周杰伦的床边故事,Jay Chou's Bedtime Stories,4,2016-06-24,周杰伦,黄俊郎
英雄,周杰伦的床边故事,Jay Chou's Bedtime Stories,5,2016-06-24,周杰伦,周杰伦
不该,周杰伦的床边故事,Jay Chou's Bedtime Stories,6,2016-06-24,周杰伦,方文山
土耳其冰淇淋,周杰伦的床边故事,Jay Chou's Bedtime Stories,7,2016-06-24,周杰伦,周杰伦
告白气球,周杰伦的床边故事,Jay Chou's Bedtime Stories,8,2016-06-24,周杰伦,方文山
Now You See Me,周杰伦的床边故事,Jay Chou's Bedtime Stories,9,2016-06-24,周杰伦,方文山
爱情废柴,周杰伦的床边故事,Jay Chou's Bedtime Stories,10,2016-06-24,周杰伦,周杰伦
最伟大的作品,最伟大的作品,Greatest Works of Art,1,2022-07-14,周杰伦,黄俊郎
还在流浪,最伟大的作品,Greatest Works of Art,2,2022-07-14,周杰伦,方文山
说好不哭,最伟大的作品,Greatest Works of Art,3,2022-07-14,周杰伦,方文山
红颜如霜,最伟大的作品,Greatest Works of Art,4,2022-07-14,周杰伦,方文山
不爱我就拉倒,最伟大的作品,Greatest Works of Art,5,2022-07-14,周杰伦,周杰伦
Mojito,最伟大的作品,Greatest Works of Art,6,2022-07-14,周杰伦,黄俊郎
等你下课,最伟大的作品,Greatest Works of Art,7,2022-07-14,周杰伦,周杰伦
我是如此相信,最伟大的作品,Greatest Works of Art,8,2022-07-14,周杰伦,方文山
粉色海洋,最伟大的作品,Greatest Works of Art,9,2022-07-14,周杰伦,方文山
倒影,最伟大的作品,Greatest Works of Art,10,2022-07-14,周杰伦,方文山
错过的烟火,最伟大的作品,Greatest Works of Art,11,2022-07-14,周杰伦,方文山
太阳之子,太阳之子,Children of the Sun,1,2026-03-25,周杰伦,方文山
西西里,太阳之子,Children of the Sun,2,2026-03-25,周杰伦,方文山
那天下雨了,太阳之子,Children of the Sun,3,2026-03-25,周杰伦,周杰伦
